"phylum","species","accession","nreads","habitat","Adenoviridae","Adintoviridae","Alloherpesviridae","Amalgaviridae","Arenaviridae","Ascoviridae","Asfarviridae","Astroviridae","Baculoviridae","Betaflexiviridae","Bromoviridae","Caliciviridae","Caulimoviridae","Chuviridae","Circoviridae","Coronaviridae","Cystoviridae","Deltaflexiviridae","Dicistroviridae","Endornaviridae","Flaviviridae","Gammaflexiviridae","Geminiviridae","Hepadnaviridae","Hepeviridae","Herpesviridae","Hypoviridae","Hytrosaviridae","Iflaviridae","Inoviridae","Iridoviridae","Lavidaviridae","Leviviridae","Lispiviridae","Luteoviridae","Malacoherpesviridae","Marnaviridae","Marseilleviridae","Mesoniviridae","Metaviridae","Mimiviridae","Mitoviridae","Mymonaviridae","Nairoviridae","Narnaviridae","Nimaviridae","Nodaviridae","Nudiviridae","Orthomyxoviridae","Papillomaviridae","Paramyxoviridae","Partitiviridae","Parvoviridae","Phasmaviridae","Phenuiviridae","Phycodnaviridae","Picornaviridae","Pithoviridae","Podoviridae","Polycipiviridae","Polydnaviridae","Polyomaviridae","Potyviridae","Poxviridae","Reoviridae","Retroviridae","Rhabdoviridae","Schitoviridae","Secoviridae","Solemoviridae","Solinviviridae","Tobaniviridae","Tombusviridae","Totiviridae","Unclassified","Virgaviridae","Xinmoviridae"
"CNIDARIA","Exaiptasia_diaphana","SRR6202209",9243918,"Marine",0,1,0,0,0,5,0,0,84,0,0,0,0,0,0,0,0,0,0,0,941,0,0,0,957,4,0,0,0,0,11,0,0,0,1,0,0,398,0,0,3733,29131,0,11,0,1,0,20,0,0,0,73,0,0,0,233,1,78,0,0,216,0,4,420,56863,17106,0,0,0,0,0,0,0,0,4791,0,0
"CNIDARIA","Exaiptasia_diaphana","SRR6202210",11198762,"Marine",1,0,0,0,0,13,0,0,109,0,0,0,0,0,0,0,0,0,0,0,1165,0,0,0,1192,6,0,0,0,0,12,0,0,0,0,0,0,480,0,0,4611,35153,0,20,0,2,0,11,0,0,0,106,0,0,0,283,3,134,0,0,271,0,6,446,68818,21000,0,0,0,1,0,0,0,0,5803,0,0
"CNIDARIA","Exaiptasia_diaphana","SRR6202211",11110138,"Marine",0,1,0,0,0,13,0,0,104,0,0,0,1,0,0,0,0,0,0,0,1163,0,0,0,1137,3,0,0,0,0,18,0,0,0,0,0,0,440,0,0,4629,35228,0,23,0,2,0,19,0,0,0,82,0,0,0,311,2,131,0,0,244,0,4,467,68101,20398,0,0,0,0,0,0,0,0,5722,0,0
"CNIDARIA","Exaiptasia_diaphana","SRR6202212",11181620,"Marine",0,0,0,0,0,14,0,0,129,0,0,0,0,0,0,0,0,0,0,0,1140,0,0,0,1224,6,0,0,0,0,14,0,0,0,0,0,0,464,0,0,4770,35582,0,21,0,3,0,18,0,0,0,99,0,0,0,307,2,125,0,0,277,0,7,511,69380,20725,0,0,0,0,0,0,0,0,5751,0,0
"CNIDARIA","Exaiptasia_diaphana","SRR6202213",7883037,"Marine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0
"CNIDARIA","Exaiptasia_diaphana","SRR6202214",6201012,"Marine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"CNIDARIA","Exaiptasia_diaphana","SRR6202215",7254657,"Marine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,1,0,0
"CNIDARIA","Exaiptasia_diaphana","SRR6202216",6242830,"Marine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0
"CNIDARIA","Exaiptasia_diaphana","SRR6202217",6848201,"Marine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0
"CNIDARIA","Exaiptasia_diaphana","SRR6202218",6036803,"Marine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"CNIDARIA","Exaiptasia_diaphana","SRR6202219",7247910,"Marine",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,1,0,0
"CNIDARIA","Exaiptasia_diaphana","SRR6202220",8131339,"Marine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,2,0,0
"CNIDARIA","Exaiptasia_diaphana","SRR6202221",5685087,"Marine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"CNIDARIA","Exaiptasia_diaphana","SRR6202251",5826448,"Marine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"CNIDARIA","Exaiptasia_diaphana","SRR6202261",13975341,"Marine",4,1,1,0,0,13,0,0,113,0,0,0,1,0,0,0,0,0,0,0,1409,0,0,0,1250,4,0,0,0,0,28,0,0,0,0,0,0,672,0,0,6375,32807,0,31,0,1,0,24,0,0,0,106,0,0,0,435,7,144,0,0,354,0,13,557,75342,31082,0,0,0,0,0,0,0,0,7383,0,0
"CNIDARIA","Exaiptasia_diaphana","SRR6202279",16404523,"Marine",1,0,3,0,0,31,0,0,192,0,0,0,2,0,0,0,0,0,0,0,1730,0,0,0,2975,22,0,0,0,0,42,0,0,0,0,0,0,1015,0,0,8983,45726,0,36,0,5,0,41,0,0,0,185,0,0,0,1116,2,215,0,0,439,0,9,732,113127,33062,0,0,0,0,0,0,0,0,10982,0,0
"CNIDARIA","Exaiptasia_diaphana","SRR6202281",13169452,"Marine",0,0,2,0,0,41,0,0,200,0,0,0,1,0,0,0,0,0,0,0,1623,0,0,0,2251,13,0,0,0,0,51,0,0,0,0,0,0,788,0,0,7593,33174,0,45,0,1,0,34,0,0,0,145,0,0,0,827,5,163,0,0,387,0,10,731,88019,27995,0,0,0,0,0,0,0,0,7990,0,0
"CNIDARIA","Fimbriaphyllia_paradivisa","SRR5864925",14003905,"Marine",0,0,40,0,0,29,12,0,336,0,0,0,0,0,0,0,0,0,0,0,3492,0,0,0,1278,45,0,0,0,0,95,0,0,0,0,0,0,1983,0,0,21780,2946,0,66,0,22,0,70,0,0,0,315,0,0,0,2642,1,424,0,0,427,0,1,886,750,36723,0,0,0,0,0,0,0,0,13087,0,0
"CNIDARIA","Hydra_vulgaris","SRR8089748",23071363,"Marine",0,0,1,0,0,24,22,0,2318,0,0,0,326,0,0,0,0,0,0,0,16431,0,0,0,2966,23,0,0,0,0,573,0,0,0,0,0,0,1260,0,0,40144,9502,0,156,0,2,0,131,0,0,4,579,0,0,0,33226,0,2432,0,0,123,0,48,4947,364,165501,0,0,0,0,0,0,0,0,89751,0,0
"CNIDARIA","Montipora_capitata","SRR11452220",10737744,"Marine",1,0,117,0,0,95,0,0,1984,0,0,0,0,0,0,0,0,0,0,0,25810,0,0,0,94,357,0,0,0,0,3019,0,0,0,0,0,0,1189,0,0,42640,583,0,138,0,67,0,63,0,0,0,265,0,0,0,13485,0,736,0,0,5397,0,47,7387,6,2319,0,0,0,0,0,0,0,0,10824,0,0
"CNIDARIA","Montipora_capitata","SRR5311255",3497340,"Marine",0,0,18,0,0,9,0,0,113,0,0,0,0,0,0,0,0,0,0,0,1594,0,0,0,527,40,0,0,0,0,82,0,0,0,0,0,0,402,0,0,5751,613,0,82,0,2,0,17,0,0,0,150,0,0,0,1236,0,121,0,0,265,0,14,466,0,6443,0,0,0,0,0,0,0,0,2241,0,0
"CNIDARIA","Montipora_capitata","SRR5311305",4783539,"Marine",0,0,20,0,0,10,0,0,140,0,0,0,0,0,0,0,0,0,0,0,1884,0,0,0,544,53,0,0,0,0,87,0,0,0,0,0,0,628,0,0,7598,781,0,101,0,8,0,34,0,0,0,200,0,0,0,1990,0,134,0,0,273,0,12,614,0,7043,0,0,0,0,0,0,0,0,2969,0,0
"CNIDARIA","Montipora_capricornis","SRR12959202",36652755,"Marine",4,1,483,0,0,165,2,0,1723,0,0,0,9,0,0,1,0,0,0,0,29638,0,0,2,13894,346,0,0,0,0,391,0,0,0,0,0,0,7306,0,0,91377,14402,0,967,0,51,0,231,0,0,0,2028,0,0,0,14436,1,2461,0,0,5231,0,191,6078,10,84589,0,0,0,0,0,0,0,0,51671,0,0
"CNIDARIA","Pocillopora_damicornis","SRR15404796",22230562,"Marine",0,0,128,0,0,3,1,0,766,0,0,0,0,0,0,0,0,0,0,0,8760,0,0,0,3466,424,0,0,0,0,416,0,0,0,0,0,0,5128,0,0,41430,4076,0,156,0,40,0,204,0,0,0,1113,0,0,0,14118,0,1043,0,0,1342,0,40,2447,640,37244,0,0,0,0,0,0,0,0,19342,0,0
