"phylum","species","accession","habitat","Marnaviridae","Adintoviridae","Retroviridae","Partitiviridae","Unclassified.viruses","Dicistroviridae","Myoviridae","Mimiviridae","Picornaviridae","Poxviridae","Narnaviridae","Totiviridae","Mitoviridae","Parvoviridae","Lispiviridae","Chuviridae","Rhabdoviridae","Amalgaviridae","Solinviviridae","Iridoviridae","Mesoniviridae","Iflaviridae","Virgaviridae","Flaviviridae","Pithoviridae","Marseilleviridae","Siphoviridae","Phycodnaviridae","Podoviridae","Phenuiviridae","Polydnaviridae","Tombusviridae","Metaviridae","Orthomyxoviridae","Xinmoviridae","Phasmaviridae","Betaflexiviridae","Autographiviridae","Chrysoviridae","Microviridae","Hypoviridae","Fusariviridae","Baculoviridae","Alloherpesviridae","Gammaflexiviridae","Alphaflexiviridae","Peribunyaviridae","Nairoviridae","Potyviridae","Reoviridae","Ascoviridae","Bidnaviridae","Klosneuvirinae","Circoviridae","Asfarviridae","Drexlerviridae","Megaviridae","Chaseviridae"
"NEMATODA","Angiostrongylus_cantonensis","SRR6435989","Terrestrial",0,0,0,0,328814,0,0,0,0,0,0,0,0,0,0,0,12.9408,0,0,0,0,0,0,0,0,0,0,0,0,3.17909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEMATODA","Angiostrongylus_cantonensis","SRR6435990","Terrestrial",0,0,0,0,305808,0,0,0,0,0,0,0,0,0,0,0,6.57837,0,0,0,0,0,0,0,0,0,0,0,0,5.62938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEMATODA","Angiostrongylus_cantonensis","SRR6435991","Terrestrial",0,0,0,0,307013,0,0,0,0,0,0,0,0,0,0,0,7.72662,0,0,0,0,0,0,0,0,0,0,0,0,11.8719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEMATODA","Angiostrongylus_cantonensis","SRR6435992","Terrestrial",0,0,0,0,301020,0,0,0,0,0,0,0,0,0,0,0,14.4148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEMATODA","Anisakis_pegreffii","SRR13870209","Marine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEMATODA","Brugia_malayi","SRR3111735","Terrestrial",0,0,2.40086,7.71824,388653,0,0,0,0,0,0,2.00615,0,0,0,4.7083,21.2896,0,0,0,0,0,2.0617,3.04323,0,0,0,0,0,0.961094,1.59312,3.78859,43.6285,4.24426,2.98388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEMATODA","Brugia_malayi","SRR5190126","Terrestrial",0,0,0,0.676004,251350,0,0,0,0,0,0,6.06676,0,0,0,2.73037,0.979162,0,0,0,0,0,1.14218,0.958011,0,0,0,0,0,0.631067,0,9.83502,3.80294,0.650872,3.11325,0.586678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEMATODA","Brugia_malayi","SRR5190127","Terrestrial",0,0,0,0.570673,57010.1,0,0,0,0,0,0,0.500922,0,0,0,0.281876,1.1346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.998889,1.09437,0.665913,0.378059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEMATODA","Caenorhabditis_angaria","SRR4119960","Terrestrial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEMATODA","Meloidogyne_incognita","SRR7471735","Terrestrial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEMATODA","Meloidogyne_incognita","SRR7609916","Terrestrial",0,0,0,0,123836,0,0,53.54884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEMATODA","Meloidogyne_incognita","SRR7609918","Terrestrial",0,0,0,0,187265,7.07542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.63929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEMATODA","Meloidogyne_incognita","SRR7609920","Terrestrial",2.99499,0,0,0,217488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEMATODA","Meloidogyne_incognita","SRR7609923","Terrestrial",7.44894,0,2.16456,0,291492,0,0,1.13033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEMATODA","Nippostrongylus_brasiliensis","ERR2023646","Terrestrial",0,0,0,0,204371,0,0,0,0,0,0,0,0,0,0,0,1.22078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEMATODA","Nippostrongylus_brasiliensis","ERR2023647","Terrestrial",0,0,0,0,212204,0,0,0,0,0,0,0,0,0,0,0,1.86557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEMATODA","Nippostrongylus_brasiliensis","ERR2023648","Terrestrial",0,0,0,0,223408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.864572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEMATODA","Pristionchus_pacificus","ERR1943703","Terrestrial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEMATODA","Pristionchus_pacificus","ERR5170364","Terrestrial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEMATODA","Steinernema_carpocapsae","SRR4119849","Terrestrial",0,0,11.1875,0,220632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEMATODA","Steinernema_carpocapsae","SRR8667943","Terrestrial",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEMATODA","Strongyloides_papillosus","ERR1466834","Terrestrial",0,0,1.41043,0,402786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEMATODA","Trichinella_pseudospiralis","SRR7007941","Terrestrial",0,0,2.72009,0,83604.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PLATYHELMINTHES","Dugesia_japonica","SRR5813560","Freshwater",0,15.7096,0,1.50977,397764,0,0,299.33246,0,0,0,0,0,3.54294,0,0,1.0281,3.56647,0,0,0,0,0,0,20.28749,0,1.15478,0.759006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PLATYHELMINTHES","Dugesia_japonica","SRR5813561","Freshwater",0,10.5907,0.397036,4.92487,381256,0,0,381806.20038,0,0,0,0,0,0.518784,0,0,0.853919,2.70795,0,0,0,0,0,0,3.20232,0.568366,2.44743,0,3.04503,0,0,0,0,0,0,0,0,1.44711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PLATYHELMINTHES","Dugesia_japonica","SRR5813568","Freshwater",0,8.62883,2.63977,4.39373,348268,0,2.57154,324.87886,0,3.47694,0,0,0,0,0,0,1.35214,4.48067,0,0,0,0,0,0,0,0,4.05703,0,7.32118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PLATYHELMINTHES","Dugesia_japonica","SRR5813569","Freshwater",0,9.39878,3.94877,2.78588,406037,0,0,191.96033,0,0,0,0,0,0,0,0.977871,0,2.77877,0,0,0,0,0,0,0,0,0,0,1.57785,0,0,0,0,0,0,0,0,2.87836,2.52555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PLATYHELMINTHES","Dugesia_japonica","SRR5813570","Freshwater",0,2.23673,7.24291,3.61981,373884,0,1.52064,115.39661,0,0,0,0,0,1.3029,0,0,0,0,0,0,0,0,0,0,0,0,22847,0,0,0,0,0,2.4264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
