"length","fdr"
417,0.258316948066492
231,0.392552580136135
1271,0.111342923417811
2395,0.0555339246164419
228,0.4786252379209
511,0.119368397263434
4526,0.163879168896109
313,0.229823293671121
263,0.372468236295737
429,0.244043186474071
507,0.417382151503538
264,0.216998566349072
239,0.0552060288576576
1555,0.367673237837211
469,0.288279685346764
216,0.245001761959659
1300,0.101934226965927
425,0.195313864179991
916,0.218629689870192
1053,0.232332976804978
3148,0.128853858099966
3695,0.164911652287299
342,0.18287398961091
715,0.042580198624163
2648,0.284986225890458
375,0.129043411067606
246,0.0756339593208471
275,0.761213789548169
394,0.164699026528623
936,0.401195912104548
818,0.388913289299647
2201,0.231704116219691
1222,0.086886548649389
220,0.17092309477151
325,0.206710298919203
238,0.130133862305698
1307,0.0677639444591021
414,0.121432967678758
2889,0.0631375996166028
379,0.0425125394102476
1995,0.071305717608297
299,0.109387850495668
4930,0.0560724818892272
824,0.137513832490498
228,0.032765673634356
2169,0.190553714971471
246,0.306827139456847
604,0.141979498805241
336,0.0258256360332351
993,0.0437946636146836
1109,0.122009633758205
1615,0.297537990604545
293,0.0938597093808975
307,0.104672525013347
670,0.261393055870963
322,0.144289876219644
578,0.0923883789568453
361,0.0845194876118041
1884,0.254554337408516
399,0.0536032375875665
2873,0.192872770388132
418,0.377668612724676
261,0.0627366674329166
757,0.551737538947948
258,0.170288246365433
1410,0.22338592500806
280,0.225808003608084
438,0.1863282628303
328,0.0848711695579249
382,0.666252249670172
236,0.655698841718851
806,0.378543765994934
319,0.32149315312213
299,0.0689688450553582
1372,0.107517834888977
326,0.0598151998543856
859,0.0882250915570021
219,0.436624165376526
229,0.520283682141718
209,0.0991291460795961
1944,0.0748089544007604
250,0.199145763106389
283,0.132664862381235
1915,0.0660785795756352
4269,0.0311850090127272
227,0.254060907171713
247,0.472051784048459
3365,0.077779931515016
428,0.110442580498163
205,0.181266313316023
588,0.322214496427743
305,0.0552060288576576
457,0.3518554485641
862,0.222524666277658
303,0.169425600362933
221,0.590740219860952
371,0.23302457713909
1820,0.249725652106105
281,0.557312621881398
355,0.0993308574743613
380,0.159504121226997
287,0.249319564091717
1414,0.169121167287458
2814,0.10302412120237
2107,0.0953413247392272
1954,0.218421833682875
2432,0.155096169349896
261,0.782374710945049
3083,0.177276965559016
1222,0.791160500480775
1069,0.105901962899216
1006,0.390265112360681
311,0.761000426614779
1503,0.389461181366627
326,0.0428035023007543
433,0.0896084301674831
450,0.0890365184366416
1721,0.127063411357818
357,0.144487538454004
2157,0.104653648101206
255,0.375384141806313
260,0.0244457891593545
1544,0.0840395010479435
2037,0.127909406174802
291,0.318928319448129
986,0.21392601955775
526,0.284143502143019
743,0.257674386263807
639,0.343156363237797
1515,0.372910771385321
218,0.716925871122475
1260,0.236542409411931
1778,0.252902981925561
310,0.330359606412004
323,0.252587860438868
281,0.0105749241642355
357,0.099281591409224
645,0.210714233599198
2992,0.192502845770577
331,0.215299529280249
208,0.866091720218134
467,0.166326432559094
270,0.0788209786998618
242,0.714693077990911
434,0.142443386662912
301,0.0975957793243422
648,0.129798831920568
258,0.852413210611187
463,0.275059358455178
625,0.120518179760569
313,0.21598224215805
8009,0.0840395010479435
355,0.103132531625325
408,0.206160311614983
971,0.483119588479586
222,0.336230465209601
2321,0.179494260761372
283,0.407934174570002
238,0.385600846730781
700,0.153655593402867
332,0.15325193905869
229,0.495238108519478
566,0.0630083027893883
2368,0.131818764354435
789,0.180394846289878
739,0.07725380767021
630,0.0612819034216657
299,0.0345700622493204
284,0.310446589996907
1911,0.219509450679113
500,0.0555339246164419
266,0.0796558015864006
481,0.138992167853382
369,0.0831171123289016
260,0.114465381882453
323,0.0927714650013533
793,0.190363769015865
1379,0.0554143108703295
650,0.155061161454121
537,0.420969853959565
276,0.0447122616288864
535,0.0598151998543856
328,0.179965041268467
301,0.163156981509813
1127,0.288996655204316
324,0.328562348693116
362,0.118046070205825
2768,0.123310237758587
253,0.0923883789568453
311,0.138185440793014
482,0.123694103010648
350,0.0839471284059968
383,0.150706649180391
261,0.158491635377944
247,0.258680855593029
206,0.0878906439991048
793,0.0944800259936523
461,0.217138941166946
683,0.090606194325899
264,0.748050670818662
258,0.121487663227906
223,0.685188124806999
914,0.20856861381165
2365,0.0719076009522618
461,0.162918049905209
953,0.167283773242794
205,0.0608795230666502
2192,0.084205773458527
840,0.128559558638956
273,0.135970429250361
637,0.0698076583262401
346,0.226467738429838
247,0.199320181605305
609,0.278999267615827
2264,0.155310190661665
447,0.110580098345758
280,0.154719456462694
272,0.228140158242015
2137,0.181054875659999
295,0.435221223077002
238,0.348123996011489
1460,0.151232165736574
1086,0.246185909202629
3441,0.0673332798504554
286,0.0362722714542133
269,0.1791046643958
1759,0.109938935899683
788,0.383071424445436
363,0.233331545611078
426,0.385044849154494
2578,0.194587311099571
964,0.182954802713593
1084,0.14484559822016
644,0.231106924576615
238,0.137900480491851
2126,0.064940706253283
614,0.538422389382731
278,0.1584118829976
296,0.425477988166654
764,0.134654172589636
281,0.139135493531418
545,0.149838351471153
240,0.333238420494142
2276,0.164303525054112
423,0.212072950674972
543,0.260125783785097
265,0.323034229544846
245,0.0951620904242468
601,0.517424239119824
289,0.118015376232972
333,0.0323007537087052
2196,0.298463610591817
250,0.268996037759525
521,0.162578419831512
637,0.350747091477278
220,0.966567592877155
408,0.254970970689236
1380,0.412989401277466
321,0.162858008732637
238,0.127063411357818
510,0.0688557847024801
332,0.434996768833761
534,0.110861795183981
506,0.13351591242143
3044,0.262041920080231
818,0.227729349879917
257,0.492167884139139
1030,0.354093515458977
1617,0.0945291944500638
247,0.110118480629347
365,0.0689688450553582
433,0.119601368897898
228,0.130545839477016
277,0.0774840865401851
952,0.176826303998469
1254,0.187710885207128
1472,0.214283421362272
2858,0.221155427812608
202,0.291635184739901
337,0.195306832677929
2614,0.254950236817871
424,0.190420624151411
252,0.483753623690291
395,0.0240140117112732
427,0.0944800259936523
1345,0.808540801618325
1222,0.156175587483787
2251,0.113142923111494
368,0.0988073938185986
2559,0.18097029917761
5082,0.0648381852717209
494,0.84914821544569
275,0.0952332613305893
4070,0.221042009866195
380,0.0930205494080553
1464,0.126362284028755
242,0.312091253249766
388,0.364688964953057
208,0.736356144842272
672,0.519815296927189
574,0.0787425736884222
476,0.375249926112529
262,0.228475331319058
683,0.205175699244786
543,0.331931231949154
626,0.190380641927179
384,0.308547776444563
510,0.168256330006495
961,0.152435872377817
781,0.239394836154235
265,0.440520234104294
213,0.0294875973988551
1121,0.31351034168493
376,0.627184316532625
216,0.042580198624163
3013,0.0759214688470001
417,0.191872037699586
298,0
631,0.165436802996353
945,0.418193646960428
238,0.573788424462733
1537,0.0696696701251372
2684,0.101628270407063
409,0.169553534548101
3727,0.0507582531634856
333,0.331678822736677
923,0.205597973256537
448,0.148136073073323
3306,0.134390194868676
426,0.682657912519168
825,0.266321392505882
288,0.0687337761381534
1578,0.124892867412673
377,0.161142262453309
259,0.424698840675474
1530,0.408184276515378
905,0.123455062712527
1205,0.0830092892575014
579,0.0338617667303672
512,0.281479681757735
215,0.0986356906082201
348,0.109274883438981
280,0.603212880421215
966,0.13956757049034
3016,0.375053998030072
5154,0.152176565162628
1064,0.270415697352198
3148,0.148484899535631
352,0.189357696984336
668,0.15541742294813
219,0.560496149699516
526,0.0664104162462396
205,0.324126018171887
2943,0.109235554650422
449,0.292787411131041
286,0.5308604894882
410,0.00493930304040292
713,0.0836371284346447
317,0.383223595361207
442,0.169887258578197
349,0.378824307405309
325,0.150171089226181
247,0.334356462927892
381,0.30789787961353
693,0.188279667892933
360,0.300349317774129
312,0.22740970539065
797,0.105811377716044
233,0.0975818591420499
214,0.172564779291016
408,0.286792433542267
418,0.387500208054156
3643,0.163432821189802
639,0.058612640312671
395,0.418307486127455
405,0.158048916797516
429,0.134462647533461
2715,0.206181746930897
419,0.42086887893003
788,0.422776966694132
930,0.203732205300973
308,0.727923197216744
304,0.056383787866436
375,0.192404612976217
240,0.0460589730215621
601,0.147127854771536
337,0.296205137365653
1507,0.212238065395765
2587,0.077779931515016
432,0.337702493974834
1509,0.318122931886376
245,0.292530656298703
334,0.194005584522918
800,0.499032423532092
1330,0.0636328512494799
294,0.129389435400004
613,0.231704116219691
1379,0.105769468764378
453,0.232286960199025
248,0.786793963242635
476,0.354389577246453
235,0.0701041721984525
4524,0.0552060288576576
362,0.19001383670236
293,0.872472437276585
1682,0.116224168840005
392,0.156248084409637
916,0.123120767021067
264,0.112783148150164
2620,0.266625188231438
445,0.545943356576963
360,0.0784902544319345
223,0.193259745655703
632,0.182995452810886
324,0.162247770493453
1874,0.187522644102471
2546,0.217845444284064
1907,0.190014903432902
1220,0.254566798191676
950,0.187967639702498
644,0.302619106695127
321,0.177425578832129
1538,0.232601064785482
347,0.137130561819849
711,0.126530919042681
599,0.605120153001829
5462,0.205759029110922
341,0.152220548576517
4330,0.167345898282679
556,0.11290500980817
1361,0.317287155881123
216,0.18482012031746
278,0.271638538503662
5003,0.102785458674619
3694,0.0783447012233686
1019,0.0870507345360257
545,0.16072324604702
312,0.0839471284059968
662,0.311921035861438
319,0.0718464722494243
240,0.15541742294813
346,0.110513817729425
211,0.172007796929053
1342,0.345274768754495
469,0.177178732594315
451,0.257541166289583
371,0.0862470645066996
610,0.0923883789568453
364,0.0718464722494243
321,0.325369585047115
618,0.41604591233244
727,0.177338651611313
835,0.33985456883301
380,0.132225098013302
517,0.123324467718127
296,0.105911907738525
372,0.253519966792567
432,0.157827940503693
201,0.0273465978835093
547,0.196018830873631
436,0.277822541130435
999,0.207964489364293
1220,0.0474685237222301
555,0.172524729673193
496,0.176738436286222
253,0.0657002478396907
330,0.250883986952894
568,0.206548287928426
237,0.090161880896244
209,0.0531552239400008
204,0.0365917323077825
941,0.437908228355966
554,0.175658567871525
737,0.317486778083337
822,0.348123996011489
5197,0.174799656765633
269,0.120331644856838
3647,0.0885277243101916
721,0.127870281756624
1486,0.173085147808796
243,0.104567090002226
770,0.269843282157478
619,0.120372545626377
363,0.208422442206426
370,0.0668059738137617
755,0.319393906087264
739,0.353210243772023
278,0.129552652855647
2026,0.19766853115258
268,0.149323379849248
1424,0.10477026871659
3640,0.123624797752386
480,0.269941885375324
216,0.219724597911253
219,0.457307161368929
318,0.0118465225291831
300,0.0140459903473376
259,0.0644688147843754
230,0.0555339246164419
615,0.391523562902563
499,0.402587052152739
265,0.127811865764517
354,0.309052265014008
398,0.319480658967688
794,0.229099876511697
1004,0.235823259323099
244,0.264319448605915
2901,0.262386453694303
502,0.368902466059229
218,0.034821109000202
269,0.207013562731031
507,0.106485178049818
1255,0.165925260728645
410,0.257674386263807
214,0.838261062533092
378,0.0518307670514622
209,0.0896815297598668
372,0.157280348525049
256,0.0531196506872786
249,0.271541943487392
512,0.28039605295147
3044,0.064986713530317
665,0.0923883789568453
436,0.448858070091906
600,0.0778209609112765
2535,0.107981197865628
4339,0.0688557847024801
1379,0.328529078313709
232,0.413113103465606
301,0.315229512775741
492,0.699227866423016
334,0.403544276120872
1800,0.244498036578937
1990,0.127856610696996
2627,0.354445300311763
4134,0.0982402028954165
2525,0.121121347834172
675,0.102122627443068
667,0.411824177689831
473,0.10754834232298
11870,0.145082267193927
326,0.122191631955319
392,0.304150191141708
3258,0.154087814608051
772,0.366400722909958
326,0.156171391854029
867,0.0746641639087204
472,0.565629560497658
3681,0.0763329689585479
249,0.539529208946929
207,0.0953413247392272
225,0.368566291627019
491,0.180117331209742
1111,0.120954800352316
384,0.0990435971316886
1246,0.250426602633977
352,0.576148240485891
254,0.70308315543746
204,0.0822704584874087
974,0.175458830181494
1843,0.0864781749810478
351,0.0910684043581339
2456,0.268393274317154
1936,0.161121847331515
1583,0.0769917631257548
365,0.254278426553891
531,0.545326814647318
203,0.13956757049034
735,0.0689688450553582
1672,0.0807894132303812
2413,0.10116226899542
700,0.108296520078399
